date,open,high,low,close,volume,vwap
2025-06-12 04:00:00,600.01,603.75,599.52,603.75,64129003.0,602.495
2025-06-13 04:00:00,598.5,601.85,595.48,597.0,89505996.0,598.3869
2025-06-16 04:00:00,600.4,604.45,600.22,602.68,79984125.0,602.39
2025-06-17 04:00:00,600.21,601.75,596.76,597.53,82209365.0,599.0958
2025-06-18 04:00:00,598.44,601.22,596.47,597.44,76605029.0,598.6557
2025-06-20 04:00:00,598.38,599.46,592.86,594.28,94051374.0,595.4982
2025-06-23 04:00:00,595.04,600.54,591.89,600.15,87426039.0,597.1593
2025-06-24 04:00:00,604.33,607.8499,603.41,606.78,67735293.0,605.9159
2025-06-25 04:00:00,607.91,608.61,605.54,607.12,62114767.0,607.1031
2025-06-26 04:00:00,608.99,612.31,608.37,611.87,78548361.0,610.4559
2025-06-27 04:00:00,612.88,616.39,610.83,614.91,86258398.0,613.9506
2025-06-30 04:00:00,617.38,619.22,615.04,617.85,92502541.0,617.0305
2025-07-01 04:00:00,616.36,618.83,615.52,617.65,70030140.0,617.4604
2025-07-02 04:00:00,617.24,620.49,616.61,620.45,66510374.0,619.1415
2025-07-03 04:00:00,622.45,626.28,622.43,625.34,51065249.0,624.6699
2025-07-07 04:00:00,623.36,624.03,617.87,620.68,74814505.0,620.9041
2025-07-08 04:00:00,621.35,622.11,619.52,620.34,59024585.0,620.6899
2025-07-09 04:00:00,622.77,624.72,620.9105,624.06,66113326.0,622.9322
2025-07-10 04:00:00,624.2,626.8701,623.01,625.82,57528960.0,625.3119
2025-07-11 04:00:00,622.74,624.86,621.53,623.62,63670226.0,623.8384
2025-07-14 04:00:00,623.16,625.1581,621.7999,624.81,51898518.0,623.957
2025-07-15 04:00:00,627.52,627.86,622.06,622.14,74317260.0,624.3339
2025-07-16 04:00:00,623.74,624.73,618.05,624.22,88987511.0,622.2168
2025-07-17 04:00:00,624.4,628.4048,624.18,628.04,68885683.0,626.8168
2025-07-18 04:00:00,629.3,629.47,626.46,627.58,65621645.0,627.7962
2025-07-21 04:00:00,628.77,631.54,628.34,628.77,63374984.0,629.9506
2025-07-22 04:00:00,629.1,629.73,626.19,628.86,60046288.0,628.3045
2025-07-23 04:00:00,631.55,634.21,629.73,634.21,70511036.0,631.9947
2025-07-24 04:00:00,634.6,636.15,633.99,634.42,71307134.0,634.9893
2025-07-25 04:00:00,635.09,637.5799,634.84,637.1,56865364.0,636.4027
2025-07-28 04:00:00,637.48,638.04,635.54,636.94,54917102.0,636.8501
2025-07-29 04:00:00,638.35,638.67,634.335,635.26,60556278.0,636.1089
2025-07-30 04:00:00,635.92,637.68,631.54,634.46,80418851.0,634.814
2025-07-31 04:00:00,639.455,639.85,630.765,632.08,103385246.0,635.1207
2025-08-01 04:00:00,626.3,626.34,619.29,621.72,140103572.0,622.4261
2025-08-04 04:00:00,625.67,631.215,625.58,631.17,73218015.0,629.1819
